# extern_census.tsv — GENERATED by scripts/extract/gen_extern_census.sh.
# Oracle: leanprover/lean4 v4.32.0 commit 8c9756b28d64dab099da31a4c09229a9e6a2ef35 (verified against SUITE.lock).
# Pin-verified environment walk over the full `Lean` import closure
# (plan Appendix C). Regenerate with the script; never edit by hand (Rule D5).
schema fln-extern-census/1
extern_count	954
constant_count	204543
columns	name	kind	module	arity	level_params	entries
extern	IO.Process.Child.tryWait	opaque	Init.System.IO	2	0	standard:all:lean_io_process_child_try_wait
extern	IO.Process.Child.wait	opaque	Init.System.IO	2	0	standard:all:lean_io_process_child_wait
extern	IO.Process.exit	opaque	Init.System.IO	2	0	standard:all:lean_io_exit
extern	IO.Process.forceExit	opaque	Init.System.IO	2	0	standard:all:lean_io_force_exit
extern	IO.Process.getCurrentDir	opaque	Init.System.IO	0	0	standard:all:lean_io_process_get_current_dir
extern	IO.Process.getPID	opaque	Init.System.IO	0	0	standard:all:lean_io_process_get_pid
extern	IO.Process.setCurrentDir	opaque	Init.System.IO	1	0	standard:all:lean_io_process_set_current_dir
extern	IO.Process.spawn	opaque	Init.System.IO	1	0	standard:all:lean_io_process_spawn
extern	IO.Promise.new	opaque	Init.System.Promise	2	0	standard:all:lean_io_promise_new
extern	IO.Promise.resolve	opaque	Init.System.Promise	3	0	standard:all:lean_io_promise_resolve
extern	IO.Promise.result?	opaque	Init.System.Promise	2	0	standard:all:lean_io_promise_result_opt
extern	IO.appPath	opaque	Init.System.IO	0	0	standard:all:lean_io_app_path
extern	IO.cancel	opaque	Init.System.IO	2	1	standard:all:lean_io_cancel
extern	IO.checkCanceled	opaque	Init.System.IO	0	0	standard:all:lean_io_check_canceled
extern	IO.currentDir	opaque	Init.System.IO	0	0	standard:all:lean_io_current_dir
extern	IO.getEnv	opaque	Init.System.IO	1	0	standard:all:lean_io_getenv
extern	IO.getNumHeartbeats	opaque	Init.System.IO	0	0	standard:all:lean_io_get_num_heartbeats
extern	IO.getRandomBytes	opaque	Init.System.IO	1	0	standard:all:lean_io_get_random_bytes
extern	IO.getStderr	opaque	Init.System.IO	0	0	standard:all:lean_get_stderr
extern	IO.getStdin	opaque	Init.System.IO	0	0	standard:all:lean_get_stdin
extern	IO.getStdout	opaque	Init.System.IO	0	0	standard:all:lean_get_stdout
extern	IO.getTID	opaque	Init.System.IO	0	0	standard:all:lean_io_get_tid
extern	IO.getTaskState	opaque	Init.System.IO	2	1	standard:all:lean_io_get_task_state
extern	IO.initializing	opaque	Init.System.IO	0	0	standard:all:lean_io_initializing
extern	IO.monoMsNow	opaque	Init.System.IO	0	0	standard:all:lean_io_mono_ms_now
extern	IO.monoNanosNow	opaque	Init.System.IO	0	0	standard:all:lean_io_mono_nanos_now
extern	IO.setNumHeartbeats	opaque	Init.System.IO	1	0	standard:all:lean_io_set_heartbeats
extern	IO.setStderr	opaque	Init.System.IO	1	0	standard:all:lean_get_set_stderr
extern	IO.setStdin	opaque	Init.System.IO	1	0	standard:all:lean_get_set_stdin
extern	IO.setStdout	opaque	Init.System.IO	1	0	standard:all:lean_get_set_stdout
extern	IO.wait	opaque	Init.System.IO	2	0	standard:all:lean_io_wait
extern	IO.waitAny	opaque	Init.System.IO	3	0	standard:all:lean_io_wait_any
extern	ISize.abs	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_isize_abs
extern	ISize.add	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_add
extern	ISize.complement	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_isize_complement
extern	ISize.decEq	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_dec_eq
